wikigene_name,ELT2_cluster_name,rna_cluster_name
ugt-1,L3_High,Larval
ugt-1,Increasing,Larval
ugt-2,Larval,Larval
ugt-2,Increasing,Larval
ugt-2,Increasing,Larval
AH9.1,Not_Bound,Embryonic
AH9.3,L3_High,Embryonic
lin-24,Increasing,Embryonic
B0024.4,Not_Bound,Adult
trx-2,Not_Bound,Larval
csn-2,Not_Bound,Adult
B0034.5,Not_Bound,Embryonic
B0035.13,Increasing,Larval
B0035.15,Not_Bound,Adult
B0035.3,Not_Bound,Larval
pfd-4,L3_High,Embryonic
pfd-4,L3_High,Embryonic
B0041.5,L3_High,Embryonic
B0041.5,L3_High,Embryonic
ptps-1,Increasing,Embryonic
B0205.13,L3_High,Embryonic
cyp-34A9,Increasing,Larval
cyp-34A9,Increasing,Larval
nlp-34,Not_Bound,Larval
nlp-27,Not_Bound,Larval
nlp-28,Not_Bound,Larval
nlp-29,Not_Bound,Embryonic
nlp-30,Not_Bound,Embryonic
nlp-31,Embryo_Specific,Larval
faah-1,Larval,Embryonic
faah-2,Larval,Larval
faah-2,Increasing,Larval
clec-51,Increasing,Larval
clec-51,Larval,Larval
clec-52,Increasing,Larval
gad-3,Larval,Larval
gad-3,Larval,Larval
B0228.1,Increasing,Larval
B0228.7,L3_High,Larval
cest-35.1,Not_Bound,Embryonic
B0250.5,Not_Changing,Adult
B0250.5,Increasing,Adult
asm-1,L3_High,Larval
B0272.3,Increasing,Larval
B0272.3,Increasing,Larval
B0272.4,Increasing,Embryonic
B0280.11,Not_Bound,Adult
viro-2,Increasing,Embryonic
B0280.2,Not_Bound,Embryonic
rpia-1,Not_Bound,Adult
B0281.3,Larval,Larval
B0286.1,Increasing,Embryonic
paic-1,Increasing,Larval
B0302.5,Increasing,Embryonic
B0302.5,Increasing,Embryonic
B0302.5,Increasing,Embryonic
mrpl-11,Increasing,Embryonic
B0303.3,Larval,Adult
B0303.3,Increasing,Adult
ugt-46,L3_High,Larval
ugt-46,L3_High,Larval
ttr-18,Not_Bound,Embryonic
B0334.4,Not_Bound,Embryonic
arf-1.2,Increasing,Embryonic
arf-1.2,Increasing,Embryonic
B0336.7,Not_Bound,Adult
lgg-3,L3_High,Embryonic
B0348.2,Larval,Larval
B0361.4,Not_Bound,Embryonic
algn-11,Not_Bound,Adult
B0361.9,Not_Bound,Larval
acly-2,Not_Bound,Larval
clec-41,Increasing,Adult
rbg-3,Not_Bound,Adult
mtk-1,Not_Bound,Embryonic
B0416.5,Increasing,Embryonic
B0454.5,Larval,Larval
B0457.2,Not_Bound,Larval
nlp-36,Increasing,Embryonic
baf-1,Not_Bound,Larval
B0495.9,Embryo_Specific,Adult
B0496.2,Not_Bound,Embryonic
valv-1,Not_Bound,Embryonic
ddn-1,Not_Bound,Embryonic
B0507.3,Increasing,Embryonic
B0507.3,Increasing,Embryonic
B0507.3,Increasing,Embryonic
B0507.8,Not_Bound,Embryonic
mrps-30,Not_Bound,Larval
thoc-7,Not_Bound,Adult
rpl-29,Increasing,Larval
mai-2,Increasing,Larval
B0546.4,Not_Bound,Embryonic
dod-20,Increasing,Larval
tin-9.2,Not_Bound,Larval
B0564.2,Not_Bound,Larval
C01A2.9,Increasing,Embryonic
cest-5.2,Increasing,Embryonic
cest-5.1,L3_High,Embryonic
C01B10.6,Increasing,Larval
C01B10.6,L3_High,Larval
C01B12.8,L3_High,Larval
sco-1,Increasing,Larval
rga-6,Not_Bound,Embryonic
nrfl-1,Increasing,Embryonic
nrfl-1,L3_High,Embryonic
nrfl-1,Increasing,Embryonic
nrfl-1,Larval,Embryonic
nrfl-1,Increasing,Embryonic
icln-1,Not_Bound,Larval
C01F6.9,Increasing,Embryonic
C01G10.10,Not_Bound,Embryonic
C01G10.9,L3_High,Adult
C01G10.9,Increasing,Adult
C01G5.5,Not_Bound,Adult
acs-7,L3_High,Embryonic
col-61,Not_Bound,Embryonic
C01H6.8,Not_Bound,Embryonic
lys-7,Larval,Larval
snpn-1,Increasing,Embryonic
snpn-1,Increasing,Embryonic
snpn-1,L3_High,Embryonic
C02B10.3,Not_Bound,Embryonic
slc-17.3,Increasing,Larval
nra-4,Not_Bound,Larval
C02E7.6,Not_Bound,Embryonic
ced-5,Not_Bound,Adult
tsp-2,Increasing,Embryonic
C02F5.5,Not_Bound,Adult
henn-1,Increasing,Adult
tsp-1,Larval,Embryonic
pbs-6,Not_Bound,Larval
fbxa-105,Increasing,Embryonic
ugt-51,Not_Bound,Embryonic
lmp-1,L3_High,Adult
C03B1.13,Larval,Larval
C03B1.13,Larval,Larval
C03B1.13,Increasing,Larval
C03B1.14,Increasing,Larval
C03B1.5,Larval,Embryonic
C03B1.7,Increasing,Embryonic
rpl-24.2,L3_High,Adult
cyp-35A2,Increasing,Larval
clec-10,Larval,Larval
tbc-6,Increasing,Larval
rpl-14,L3_High,Larval
C04F12.7,Not_Bound,Adult
rnh-1.3,Not_Bound,Larval
dis-3,Not_Bound,Adult
mpk-2,Increasing,Embryonic
mpk-2,L3_High,Embryonic
pph-1,Increasing,Embryonic
pph-1,Larval,Embryonic
C05B5.5,Not_Bound,Embryonic
gtl-1,Increasing,Embryonic
gtl-1,Increasing,Embryonic
gtl-1,Increasing,Embryonic
gtl-1,Increasing,Embryonic
gtl-1,Increasing,Embryonic
C05C12.4,Increasing,Larval
C05C9.3,Larval,Larval
attf-4,Increasing,Embryonic
attf-4,Increasing,Embryonic
attf-4,L3_High,Embryonic
wht-1,Larval,Larval
C05D10.4,L3_High,Embryonic
mrps-17,Not_Bound,Embryonic
mel-32,Increasing,Larval
let-721,Increasing,Adult
C05D11.13,Increasing,Embryonic
C05D11.5,Increasing,Larval
C05D12.3,Larval,Larval
C05D12.3,Larval,Larval
C05D12.3,Increasing,Larval
C05D2.8,Increasing,Larval
lmp-2,Increasing,Embryonic
amt-4,Increasing,Larval
amt-4,Larval,Larval
amt-4,Increasing,Larval
icl-1,Larval,Embryonic
C05G5.5,Increasing,Embryonic
C06A5.12,Not_Bound,Adult
C06A6.7,Increasing,Embryonic
mthf-1,Larval,Adult
mthf-1,Increasing,Adult
skr-17,Not_Bound,Adult
C06A8.8,Not_Bound,Embryonic
cyp-35C1,L3_High,Larval
C06B3.6,Not_Bound,Larval
C06B8.2,Increasing,Embryonic
rpl-38,Increasing,Larval
nhr-63,Not_Bound,Embryonic
C06E1.11,Not_Bound,Embryonic
C06E1.7,Larval,Embryonic
C06E2.5,L3_High,Embryonic
sams-4,Not_Bound,Embryonic
ain-1,L3_High,Embryonic
ain-1,Larval,Embryonic
ain-1,Increasing,Embryonic
ain-1,Increasing,Embryonic
ain-1,Increasing,Embryonic
C06G3.8,Not_Bound,Adult
hrpk-2,Not_Bound,Adult
C06G4.4,Not_Bound,Adult
swt-3,Not_Bound,Larval
atp-5,Increasing,Larval
fbxa-156,Not_Bound,Larval
fbxa-157,Increasing,Larval
C06H5.6,Increasing,Adult
dcar-1,Not_Bound,Embryonic
C07A12.7,Increasing,Embryonic
ncx-7,Larval,Larval
ncx-7,Increasing,Larval
ncx-7,Increasing,Larval
bud-31,L3_High,Adult
bud-31,L3_High,Adult
ncx-6,Increasing,Larval
ncx-6,Increasing,Larval
C07B5.2,Embryo_Specific,Embryonic
C07B5.4,Not_Bound,Embryonic
nuc-1,Larval,Larval
nuc-1,Larval,Larval
bath-44,Increasing,Embryonic
bath-44,Increasing,Embryonic
bath-44,L3_High,Embryonic
nas-7,L3_High,Embryonic
C07D10.5,Increasing,Embryonic
C07D8.6,Increasing,Larval
pro-2,Not_Bound,Larval
C07E3.3,Not_Bound,Embryonic
wsp-1,Not_Bound,Embryonic
irg-1,Not_Bound,Larval
C07G3.8,Not_Bound,Embryonic
C07H4.1,Increasing,Embryonic
C07H4.1,Increasing,Embryonic
C07H6.2,Not_Bound,Adult
C07H6.4,Increasing,Adult
C07H6.4,Larval,Adult
hda-2,Larval,Adult
nrf-6,L3_High,Larval
nrf-6,Increasing,Larval
nrf-6,L3_High,Larval
ugt-17,Increasing,Larval
ugt-17,Increasing,Larval
ugt-17,Increasing,Larval
C08B6.10,Increasing,Embryonic
C08B6.11,Not_Bound,Embryonic
C08B6.2,Increasing,Larval
C08B6.3,Larval,Adult
C08E3.1,Not_Bound,Larval
fbxa-158,Increasing,Embryonic
fbxa-163,Larval,Embryonic
fbxa-163,Increasing,Embryonic
fbxa-163,Larval,Embryonic
fbxa-166,Not_Bound,Larval
C08E8.4,Increasing,Larval
math-4,Increasing,Embryonic
ule-4,Not_Bound,Adult
C08F11.13,Increasing,Embryonic
C08F11.13,Increasing,Embryonic
fbxa-98,Increasing,Larval
ugt-22,Increasing,Larval
ugt-22,Increasing,Larval
rap-3,Not_Bound,Embryonic
vgln-1,Larval,Larval
C09B8.4,Not_Bound,Embryonic
hsp-25,Increasing,Embryonic
hsp-25,Increasing,Embryonic
hsp-25,Increasing,Embryonic
rpl-19,L3_High,Larval
mlt-10,Not_Bound,Embryonic
clc-1,Increasing,Adult
orai-1,Larval,Larval
hyl-1,L3_High,Embryonic
hyl-1,Increasing,Embryonic
hyl-1,Increasing,Embryonic
cks-1,Not_Bound,Embryonic
nbs-1,L3_High,Adult
rpl-36.A,L3_High,Larval
C10A4.10,Increasing,Adult
C10A4.3,Not_Bound,Embryonic
C10B5.3,L3_High,Embryonic
fbxc-58,L3_High,Embryonic
C10C5.4,Increasing,Adult
wht-2,Increasing,Adult
C10C6.7,Not_Bound,Embryonic
mlst-8,Not_Bound,Adult
C11D2.4,Not_Bound,Adult
prx-1,Increasing,Larval
cbl-1,Increasing,Embryonic
cbl-1,Increasing,Embryonic
C12D12.1,Increasing,Larval
C12D12.1,Increasing,Larval
C12D12.1,Larval,Larval
sox-4,Increasing,Embryonic
cyp-33A1,Increasing,Embryonic
daf-36,Increasing,Larval
daf-36,Increasing,Larval
C13A10.1,Larval,Larval
pdfr-1,Not_Changing,Embryonic
nhr-153,Increasing,Embryonic
spin-1,Not_Changing,Embryonic
spin-1,Increasing,Embryonic
C13C4.6,Increasing,Adult
ugt-7,Larval,Larval
C13F10.6,Not_Bound,Embryonic
C13G5.2,Not_Bound,Adult
cgef-1,Embryo_Specific,Embryonic
cgef-1,Not_Changing,Embryonic
crn-5,Not_Bound,Embryonic
C14A4.7,Increasing,Embryonic
C14A4.9,Not_Bound,Embryonic
clec-48,Larval,Larval
C14B1.2,L3_High,Adult
C14B1.8,L3_High,Adult
hsp-12.2,Not_Bound,Embryonic
C14B9.2,Increasing,Embryonic
C14B9.2,L3_High,Embryonic
rpl-21,Increasing,Larval
rpl-21,L3_High,Larval
ril-2,L3_High,Adult
ril-2,Increasing,Adult
C14C10.5,Larval,Larval
C14C10.5,Larval,Larval
hex-2,L3_High,Embryonic
hex-2,Larval,Embryonic
C14C11.4,Increasing,Embryonic
C14C11.4,Increasing,Embryonic
C14C6.2,Increasing,Larval
C14C6.5,Larval,Larval
C14H10.3,Increasing,Embryonic
C14H10.3,Increasing,Embryonic
C14H10.3,Larval,Embryonic
C15B12.1,Increasing,Larval
C15C7.5,Increasing,Embryonic
C15C7.5,Larval,Embryonic
C15C7.5,Increasing,Embryonic
C15C7.7,Increasing,Embryonic
hrg-7,Larval,Larval
C15C8.5,L3_High,Embryonic
C15C8.7,Increasing,Embryonic
C15C8.7,Increasing,Embryonic
C15H11.11,Increasing,Larval
gnrr-2,Not_Bound,Embryonic
rpoa-12,L3_High,Adult
rrbs-1,L3_High,Larval
C15H9.5,Increasing,Embryonic
hsp-3,Increasing,Larval
hsp-3,Increasing,Larval
smrc-1,Not_Bound,Adult
oatr-1,Increasing,Larval
let-716,L3_High,Larval
C16A3.4,Not_Bound,Larval
C16A3.5,Not_Bound,Larval
C16A3.6,Increasing,Adult
C16B8.3,Increasing,Adult
C16B8.3,Increasing,Adult
C16C4.18,Not_Bound,Larval
math-14,Increasing,Adult
math-15,Larval,Larval
C16D9.4,Not_Bound,Embryonic
lec-9,Larval,Embryonic
lec-9,Increasing,Embryonic
lec-9,Increasing,Embryonic
C17B7.10,Not_Bound,Embryonic
fbxa-65,Not_Bound,Larval
C17C3.1,Increasing,Adult
C17C3.1,Increasing,Adult
acdh-2,Not_Bound,Embryonic
ins-12,Increasing,Larval
ins-12,Larval,Larval
ins-12,Increasing,Larval
C17C3.3,Larval,Embryonic
ins-11,Larval,Larval
nkb-1,Increasing,Embryonic
nkb-1,L3_High,Embryonic
C17E7.13,Increasing,Embryonic
C17E7.4,Not_Bound,Embryonic
C17F4.2,Not_Bound,Embryonic
C17F4.7,L3_High,Larval
C17F4.7,Larval,Larval
C17F4.8,Not_Bound,Embryonic
folr-1,Not_Bound,Embryonic
C17G1.2,Not_Bound,Adult
ugt-23,L3_High,Adult
cysl-1,L3_High,Embryonic
C17G10.1,Not_Bound,Adult
lys-8,Increasing,Larval
lys-8,Larval,Larval
C17G10.7,L3_High,Embryonic
pals-2,Increasing,Embryonic
pals-6,Not_Bound,Larval
anat-1,Increasing,Adult
anat-1,Increasing,Adult
cest-4,Not_Bound,Adult
C17H12.6,Not_Bound,Larval
C17H12.8,Increasing,Larval
C18A11.1,Increasing,Embryonic
C18A11.3,L3_High,Embryonic
C18A3.3,Not_Bound,Larval
rab-3,L3_High,Embryonic
C18B2.5,Increasing,Larval
C18B2.5,Increasing,Larval
C18B2.5,Larval,Larval
C18D11.1,Not_Bound,Embryonic
maa-1,L3_High,Embryonic
maa-1,Increasing,Embryonic
swsn-2.2,Not_Bound,Adult
cal-2,Not_Bound,Embryonic
C18E9.4,Not_Bound,Adult
C18E9.5,Not_Bound,Embryonic
C18E9.9,Increasing,Embryonic
C18E9.9,Larval,Embryonic
elt-7,Larval,Adult
C18G1.6,Not_Bound,Embryonic
C18H7.11,Larval,Larval
C18H9.6,Larval,Larval
C18H9.6,Increasing,Larval
C23F12.4,Not_Bound,Embryonic
C23G10.2,Increasing,Larval
rps-3,Not_Bound,Larval
C23G10.5,Not_Changing,Embryonic
C23H3.2,Larval,Larval
C23H3.2,L3_High,Larval
ascc-1,Increasing,Larval
sptl-1,L3_High,Larval
sptl-1,Increasing,Larval
sptl-1,L3_High,Larval
cest-8,Not_Bound,Embryonic
prmt-6,L3_High,Larval
C23H5.8,Increasing,Larval
frm-4,Increasing,Embryonic
frm-4,Increasing,Embryonic
frm-4,L3_High,Embryonic
frm-4,L3_High,Embryonic
C24A3.4,L3_High,Embryonic
C24B5.4,Increasing,Embryonic
C24B9.3,Increasing,Larval
C24B9.3,Larval,Larval
dod-3,Larval,Embryonic
C24D10.4,Not_Bound,Adult
C24D10.6,Not_Bound,Embryonic
hpo-15,L3_High,Larval
hpo-15,Larval,Larval
hpo-15,Increasing,Larval
hpo-15,Increasing,Larval
C24G6.8,L3_High,Larval
C24H10.2,L3_High,Embryonic
C24H12.4,Not_Bound,Adult
nola-3,Not_Bound,Embryonic
cpr-6,Increasing,Larval
cpr-6,Larval,Larval
cpr-6,L3_High,Larval
nhr-120,Larval,Embryonic
nhr-120,Increasing,Embryonic
nhr-120,Larval,Embryonic
nhr-120,Increasing,Embryonic
fbxa-82,Increasing,Larval
C25D7.5,Not_Bound,Embryonic
otub-1,Not_Bound,Adult
C25E10.8,Not_Bound,Larval
dpyd-1,Increasing,Larval
dpyd-1,Larval,Larval
dpyd-1,Larval,Larval
dpyd-1,L3_High,Larval
C25F9.10,Increasing,Embryonic
C25F9.14,Increasing,Embryonic
C25F9.4,Increasing,Larval
C25F9.6,Increasing,Embryonic
srw-86,Increasing,Embryonic
C25F9.9,Not_Bound,Larval
igdb-2,Not_Bound,Larval
C25G4.2,Not_Bound,Embryonic
C25G6.4,Not_Bound,Embryonic
C25H3.3,Not_Bound,Adult
C25H3.7,Not_Bound,Larval
dnc-4,L3_High,Adult
nhr-31,L3_High,Embryonic
nhr-31,Increasing,Embryonic
nhr-31,Increasing,Embryonic
nhr-31,Larval,Embryonic
nhr-31,Larval,Embryonic
nhr-31,Increasing,Embryonic
nhr-31,Increasing,Embryonic
nhr-31,Larval,Embryonic
nhr-31,Increasing,Embryonic
C26B2.8,Not_Bound,Embryonic
C26D10.4,Not_Bound,Embryonic
mmab-1,Increasing,Larval
eri-9,Not_Bound,Adult
C26F1.1,L3_High,Embryonic
C26F1.3,Not_Bound,Embryonic
rps-30,Not_Bound,Larval
grl-10,Not_Bound,Embryonic
frpr-3,Not_Bound,Embryonic
C27A12.4,Increasing,Larval
rpl-22,Not_Bound,Larval
C27A2.8,Not_Bound,Embryonic
C27A7.1,Increasing,Larval
spr-2,L3_High,Adult
C27B7.6,Not_Bound,Adult
C27B7.7,Not_Bound,Embryonic
egrh-1,Increasing,Embryonic
egrh-1,L3_High,Embryonic
crh-2,Larval,Embryonic
crh-2,Increasing,Embryonic
crh-2,Increasing,Embryonic
crh-2,Increasing,Embryonic
crh-2,Larval,Embryonic
C27D8.2,Increasing,Embryonic
C27D8.2,Increasing,Embryonic
C27D8.3,Increasing,Embryonic
C27D8.3,Larval,Embryonic
C27D9.2,Not_Bound,Larval
wdr-60,Embryo_Specific,Embryonic
vps-22,Not_Bound,Embryonic
C27H5.4,Increasing,Adult
spp-8,Larval,Larval
spp-8,Larval,Larval
spp-8,Increasing,Larval
spp-10,Not_Bound,Larval
nhr-100,Larval,Embryonic
C28D4.10,Not_Bound,Embryonic
rcs-1,Larval,Larval
C28G1.6,Larval,Larval
C28G1.6,Increasing,Larval
C28H8.2,Not_Changing,Larval
C28H8.3,Increasing,Larval
erd-2.2,Not_Changing,Larval
gsto-1,Larval,Larval
gsto-1,Larval,Larval
ech-1.1,Not_Bound,Embryonic
C29F3.7,Increasing,Larval
best-7,Increasing,Larval
C29F7.1,Increasing,Embryonic
C29F7.1,Increasing,Embryonic
C29F7.1,L3_High,Embryonic
C29F7.2,Increasing,Adult
C29F7.2,L3_High,Adult
C29F7.3,Increasing,Embryonic
C29F9.2,Larval,Embryonic
C29F9.2,L3_High,Embryonic
pals-23,Larval,Embryonic
pals-24,Increasing,Embryonic
pals-24,Increasing,Embryonic
pals-24,Larval,Embryonic
pat-4,L3_High,Embryonic
C29H12.2,Increasing,Adult
C29H12.2,Larval,Adult
rbmx-2,Not_Bound,Adult
mrpl-32,Larval,Embryonic
rpn-3,Increasing,Larval
trhr-1,Increasing,Embryonic
trhr-1,Increasing,Embryonic
idhg-2,Increasing,Larval
C30G12.2,Larval,Adult
C30G12.2,Larval,Adult
C30G12.2,Larval,Adult
C30G12.2,Larval,Adult
C30G12.2,Increasing,Adult
C30G4.4,Increasing,Larval
C30G4.4,Increasing,Larval
C30G4.4,Larval,Larval
C30G4.4,Increasing,Larval
C30G4.4,Increasing,Larval
C30G4.4,Increasing,Larval
C30G7.3,Not_Bound,Adult
C30H6.8,Not_Bound,Adult
erp-44.1,Increasing,Embryonic
oac-6,Larval,Larval
C31B8.7,Not_Changing,Embryonic
tag-10,Larval,Larval
cytb-5.1,L3_High,Larval
cytb-5.1,Increasing,Larval
lntl-1,Not_Bound,Embryonic
C31H5.4,Not_Bound,Embryonic
C31H5.5,Not_Bound,Embryonic
C31H5.7,Not_Bound,Embryonic
kvs-2,Not_Bound,Embryonic
sma-6,Increasing,Embryonic
sma-6,Increasing,Embryonic
set-4,Increasing,Embryonic
set-4,Larval,Embryonic
lgg-1,Increasing,Embryonic
lgg-1,Increasing,Embryonic
rpl-13,L3_High,Larval
tppp-1,Not_Changing,Embryonic
C32E8.5,L3_High,Adult
C32E8.9,Not_Bound,Larval
C32F10.4,Increasing,Embryonic
irg-6,Not_Bound,Embryonic
dod-24,Larval,Larval
C32H11.4,Larval,Embryonic
C33A12.1,L3_High,Larval
nlp-35,Embryo_Specific,Embryonic
ugt-21,Increasing,Larval
ethe-1,L3_High,Larval
gba-1,Increasing,Larval
gba-1,Larval,Larval
C33C12.4,Not_Bound,Adult
twk-26,Increasing,Larval
elt-2,Not_Bound,Embryonic
C33D9.3,L3_High,Larval
C33D9.8,L3_High,Embryonic
nhr-162,Not_Bound,Embryonic
nhr-163,Not_Bound,Embryonic
C33G8.4,Not_Bound,Larval
nhr-139,Not_Bound,Embryonic
C33H5.13,Increasing,Larval
rpap-3,Not_Bound,Adult
ttc-1,Not_Bound,Adult
C34B2.8,L3_High,Larval
prx-5,L3_High,Embryonic
cup-16,L3_High,Embryonic
zip-5,Larval,Embryonic
zip-5,Increasing,Embryonic
zip-5,Larval,Embryonic
zip-5,Increasing,Embryonic
grsp-3,Not_Bound,Larval
cyn-12,Not_Bound,Adult
mutd-1,Larval,Embryonic
C34D4.4,Increasing,Embryonic
C34D4.4,L3_High,Embryonic
mrps-26,L3_High,Adult
gop-2,Not_Bound,Adult
prx-10,Not_Bound,Adult
sumv-1,Not_Bound,Adult
C34E11.4,Increasing,Embryonic
ampd-1,Increasing,Embryonic
ampd-1,Larval,Embryonic
ampd-1,Larval,Embryonic
ampd-1,Larval,Embryonic
ampd-1,Larval,Embryonic
C34F6.10,Not_Bound,Embryonic
C34F6.11,Larval,Embryonic
C34F6.5,Not_Bound,Embryonic
idh-2,L3_High,Larval
tyr-4,Not_Bound,Larval
pgp-2,L3_High,Adult
pgp-2,Increasing,Adult
pgp-2,Increasing,Adult
pgp-2,L3_High,Adult
pgp-2,Larval,Adult
cdc-7,Not_Bound,Adult
odd-2,Larval,Embryonic
odd-2,Larval,Embryonic
odd-2,Larval,Embryonic
odd-2,Increasing,Embryonic
odd-2,Increasing,Embryonic
C34H4.2,Increasing,Larval
tag-244,Not_Bound,Larval
C35A11.2,Not_Bound,Embryonic
C35A11.4,Larval,Larval
C35A11.4,Increasing,Larval
C35A5.6,Not_Bound,Embryonic
dmsr-8,Not_Bound,Embryonic
C35C5.9,Not_Bound,Larval
tost-1,L3_High,Embryonic
clec-5,Increasing,Larval
clec-5,Larval,Larval
clec-5,Increasing,Larval
gipc-1,Not_Bound,Adult
C35D10.8,Not_Bound,Adult
C35E7.4,Larval,Embryonic
C35E7.9,Larval,Adult
C36A4.10,L3_High,Embryonic
C36A4.10,Not_Changing,Embryonic
cyp-25A2,Larval,Embryonic
cyp-25A3,Not_Bound,Embryonic
acs-19,Increasing,Larval
C36B1.13,Not_Bound,Embryonic
rpb-3,Not_Bound,Adult
C36B1.6,Larval,Larval
C37A2.7,Not_Bound,Larval
C37A2.8,L3_High,Embryonic
C37C3.10,Not_Bound,Embryonic
grd-8,Larval,Embryonic
ceh-37,Larval,Embryonic
ceh-37,Larval,Embryonic
ceh-37,Larval,Embryonic
ceh-37,Embryo_Specific,Embryonic
ceh-37,L3_High,Embryonic
ceh-37,Larval,Embryonic
ceh-37,Larval,Embryonic
ceh-37,Increasing,Embryonic
ceh-37,Increasing,Embryonic
C37H5.13,Not_Bound,Embryonic
abhd-5.2,L3_High,Larval
C37H5.5,L3_High,Larval
C38D9.2,Not_Bound,Embryonic
elt-4,Not_Bound,Embryonic
C39D10.11,Increasing,Embryonic
C39D10.8,Not_Bound,Larval
rfc-3,Not_Bound,Adult
C39E9.8,Not_Bound,Larval
C39F7.1,Increasing,Embryonic
C39F7.1,Embryo_Specific,Embryonic
rab-1,Not_Bound,Embryonic
C39H7.4,Larval,Embryonic
math-20,Not_Bound,Embryonic
math-21,Increasing,Embryonic
math-21,Increasing,Embryonic
C40H1.7,Increasing,Larval
C40H1.7,Increasing,Larval
C40H1.8,Increasing,Larval
C40H1.8,Increasing,Larval
cps-6,Not_Bound,Larval
C41G7.8,Increasing,Larval
lido-10,Not_Bound,Embryonic
lido-9,Not_Bound,Embryonic
C42C1.12,Increasing,Adult
tag-335,Not_Bound,Embryonic
C42D4.1,Increasing,Larval
C42D4.1,Increasing,Larval
C42D8.1,Increasing,Larval
ifp-1,Increasing,Embryonic
ifp-1,Larval,Embryonic
cogc-5,Not_Bound,Adult
tufm-2,Not_Bound,Larval
C43E11.9,Not_Bound,Larval
try-3,Not_Bound,Embryonic
trpp-12,Larval,Embryonic
trpp-12,Increasing,Embryonic
hlh-15,Not_Bound,Embryonic
C44B7.7,L3_High,Embryonic
pmp-2,Increasing,Embryonic
C44C1.1,Not_Bound,Embryonic
chil-10,Not_Bound,Adult
abhd-3.2,Increasing,Larval
abhd-3.2,Increasing,Larval
ras-1,Increasing,Embryonic
ras-1,Increasing,Embryonic
fbxc-5,Increasing,Larval
fbxc-2,Increasing,Larval
fbxc-1,Increasing,Larval
C44E12.1,Increasing,Embryonic
acbp-1,Larval,Larval
acbp-1,Increasing,Larval
C44F1.1,Increasing,Embryonic
C44F1.1,Larval,Embryonic
let-4,Not_Bound,Embryonic
sym-1,Not_Bound,Embryonic
C44H9.7,L3_High,Embryonic
C44H9.7,L3_High,Embryonic
dhs-18,Not_Bound,Embryonic
C45B2.2,Not_Bound,Larval
nhr-64,L3_High,Embryonic
nhr-64,L3_High,Embryonic
nhr-64,Larval,Embryonic
C45E5.1,L3_High,Larval
C45E5.1,Increasing,Larval
ilys-2,Not_Bound,Larval
del-7,Not_Bound,Embryonic
dsb-3,Not_Bound,Adult
slcr-46.1,Increasing,Larval
slcr-46.1,Larval,Larval
math-22,Increasing,Larval
math-24,L3_High,Embryonic
C46H11.10,Not_Bound,Embryonic
C46H11.2,Increasing,Larval
C46H11.3,Increasing,Embryonic
ddo-1,Larval,Larval
ent-4,Increasing,Larval
ent-4,Increasing,Larval
ent-4,Larval,Larval
prx-11,Not_Bound,Larval
C47D12.5,Not_Bound,Adult
cdd-1,Larval,Embryonic
cdd-1,Larval,Embryonic
dhp-2,Not_Bound,Larval
C47F8.7,Embryo_Specific,Embryonic
C47G2.4,Increasing,Embryonic
C47G2.4,L3_High,Embryonic
acox-1.5,Increasing,Larval
acox-1.5,Increasing,Larval
C48B4.3,Increasing,Embryonic
C48B6.10,Not_Bound,Larval
C48B6.2,Not_Bound,Larval
C48E7.7,Not_Bound,Adult
C49A1.10,Not_Bound,Embryonic
