WBGeneID,class
WBGene00012070,Target Gene Class A1
WBGene00012101,Target Gene Class B
WBGene00012144,Target Gene Class B
WBGene00012162,Target Gene Class B
WBGene00012182,Target Gene Class C
WBGene00012201,Target Gene Class A1
WBGene00012241,Target Gene Class C
WBGene00012251,Target Gene Class A1
WBGene00012253,Target Gene Class A1
WBGene00012295,Target Gene Class B
WBGene00012319,Target Gene Class B
WBGene00012323,Target Gene Class B
WBGene00012332,Target Gene Class A1
WBGene00012360,Target Gene Class C
WBGene00012387,Target Gene Class B
WBGene00012404,Target Gene Class A1
WBGene00012407,Target Gene Class A1
WBGene00012445,Target Gene Class A2
WBGene00012464,Target Gene Class B
WBGene00012467,Target Gene Class B
WBGene00012472,Target Gene Class C
WBGene00012518,Target Gene Class B
WBGene00012525,Target Gene Class B
WBGene00012529,Target Gene Class A2
WBGene00012531,Target Gene Class A2
WBGene00012533,Target Gene Class A1
WBGene00012582,Target Gene Class A2
WBGene00012629,Target Gene Class B
WBGene00012634,Target Gene Class C
WBGene00012664,Target Gene Class B
WBGene00012668,Target Gene Class C
WBGene00012699,Target Gene Class A2
WBGene00012782,Target Gene Class A2
WBGene00012791,Target Gene Class C
WBGene00012802,Target Gene Class A1
WBGene00012834,Target Gene Class A1
WBGene00012968,Target Gene Class A1
WBGene00012970,Target Gene Class A1
WBGene00012972,Target Gene Class C
WBGene00013025,Target Gene Class B
WBGene00013037,Target Gene Class A1
WBGene00013073,Target Gene Class B
WBGene00013080,Target Gene Class A2
WBGene00013101,Target Gene Class A1
WBGene00013118,Target Gene Class A2
WBGene00013119,Target Gene Class A2
WBGene00013167,Target Gene Class A1
WBGene00013189,Target Gene Class C
WBGene00013197,Target Gene Class B
WBGene00013207,Target Gene Class A1
WBGene00013227,Target Gene Class A2
WBGene00013228,Target Gene Class C
WBGene00013257,Target Gene Class A2
WBGene00013295,Target Gene Class B
WBGene00013448,Target Gene Class B
WBGene00013484,Target Gene Class B
WBGene00013544,Target Gene Class A1
WBGene00013559,Target Gene Class B
WBGene00013567,Target Gene Class C
WBGene00013602,Target Gene Class C
WBGene00013637,Target Gene Class A2
WBGene00013650,Target Gene Class A1
WBGene00013716,Target Gene Class A2
WBGene00013750,Target Gene Class A1
WBGene00013822,Target Gene Class A2
WBGene00013836,Target Gene Class B
WBGene00013837,Target Gene Class B
WBGene00013874,Target Gene Class A1
WBGene00013900,Target Gene Class A2
WBGene00013901,Target Gene Class A2
WBGene00013906,Target Gene Class A1
WBGene00013947,Target Gene Class C
WBGene00013976,Target Gene Class A1
WBGene00013996,Target Gene Class A2
WBGene00014057,Target Gene Class A2
WBGene00014063,Target Gene Class A1
WBGene00014106,Target Gene Class B
WBGene00014136,Target Gene Class A2
WBGene00014137,Target Gene Class B
WBGene00014138,Target Gene Class A1
WBGene00014164,Target Gene Class B
WBGene00014193,Target Gene Class B
WBGene00014194,Target Gene Class B
WBGene00014252,Target Gene Class A1
WBGene00014669,Target Gene Class A2
WBGene00015047,Target Gene Class A1
WBGene00015048,Target Gene Class B
WBGene00015050,Target Gene Class A2
WBGene00015110,Target Gene Class A2
WBGene00015116,Target Gene Class A1
WBGene00015119,Target Gene Class B
WBGene00015206,Target Gene Class B
WBGene00015220,Target Gene Class B
WBGene00015279,Target Gene Class A1
WBGene00015284,Target Gene Class A2
WBGene00015338,Target Gene Class A1
WBGene00015342,Target Gene Class A1
WBGene00015362,Target Gene Class C
WBGene00015400,Target Gene Class A2
WBGene00015403,Target Gene Class A1
WBGene00015469,Target Gene Class A1
WBGene00015471,Target Gene Class A2
WBGene00015561,Target Gene Class B
WBGene00015565,Target Gene Class A1
WBGene00015598,Target Gene Class B
WBGene00015602,Target Gene Class A2
WBGene00015605,Target Gene Class C
WBGene00015608,Target Gene Class A2
WBGene00015677,Target Gene Class C
WBGene00015687,Target Gene Class C
WBGene00015693,Target Gene Class C
WBGene00015695,Target Gene Class C
WBGene00015701,Target Gene Class B
WBGene00015713,Target Gene Class A2
WBGene00015728,Target Gene Class A1
WBGene00015759,Target Gene Class A1
WBGene00015768,Target Gene Class A1
WBGene00015783,Target Gene Class A1
WBGene00015784,Target Gene Class A1
WBGene00015789,Target Gene Class A1
WBGene00015800,Target Gene Class C
WBGene00015823,Target Gene Class C
WBGene00015829,Target Gene Class B
WBGene00015889,Target Gene Class A1
WBGene00015913,Target Gene Class A2
WBGene00015928,Target Gene Class B
WBGene00015933,Target Gene Class A1
WBGene00015947,Target Gene Class B
WBGene00015955,Target Gene Class C
WBGene00015956,Target Gene Class A2
WBGene00015988,Target Gene Class C
WBGene00016004,Target Gene Class A2
WBGene00016027,Target Gene Class A1
WBGene00016048,Target Gene Class A1
WBGene00016052,Target Gene Class A1
WBGene00016061,Target Gene Class A2
WBGene00016064,Target Gene Class B
WBGene00016066,Target Gene Class B
WBGene00016074,Target Gene Class C
WBGene00016111,Target Gene Class C
WBGene00016134,Target Gene Class A1
WBGene00016191,Target Gene Class A2
WBGene00016217,Target Gene Class A1
WBGene00016218,Target Gene Class B
WBGene00016219,Target Gene Class B
WBGene00016274,Target Gene Class C
WBGene00016302,Target Gene Class B
WBGene00016315,Target Gene Class C
WBGene00016335,Target Gene Class A2
WBGene00016379,Target Gene Class B
WBGene00016425,Target Gene Class A2
WBGene00016431,Target Gene Class A1
WBGene00016450,Target Gene Class A2
WBGene00016542,Target Gene Class B
WBGene00016544,Target Gene Class A2
WBGene00016556,Target Gene Class A1
WBGene00016599,Target Gene Class B
WBGene00016705,Target Gene Class A1
WBGene00016757,Target Gene Class A2
WBGene00016758,Target Gene Class A1
WBGene00016759,Target Gene Class C
WBGene00016845,Target Gene Class A2
WBGene00016883,Target Gene Class A2
WBGene00016888,Target Gene Class C
WBGene00016912,Target Gene Class A1
WBGene00016934,Target Gene Class B
WBGene00016939,Target Gene Class A2
WBGene00016976,Target Gene Class C
WBGene00016987,Target Gene Class C
WBGene00016997,Target Gene Class C
WBGene00017027,Target Gene Class A1
WBGene00017071,Target Gene Class A1
WBGene00017093,Target Gene Class A1
WBGene00017241,Target Gene Class C
WBGene00017257,Target Gene Class A2
WBGene00017291,Target Gene Class A1
WBGene00017302,Target Gene Class B
WBGene00017332,Target Gene Class A1
WBGene00017334,Target Gene Class C
WBGene00017369,Target Gene Class A1
WBGene00017398,Target Gene Class A2
WBGene00017427,Target Gene Class A2
WBGene00017434,Target Gene Class A2
WBGene00017443,Target Gene Class A2
WBGene00017448,Target Gene Class B
WBGene00017449,Target Gene Class B
WBGene00017498,Target Gene Class A1
WBGene00017501,Target Gene Class A2
WBGene00017515,Target Gene Class A1
WBGene00017522,Target Gene Class B
WBGene00017574,Target Gene Class A1
WBGene00017592,Target Gene Class A2
WBGene00017612,Target Gene Class A1
WBGene00017625,Target Gene Class A2
WBGene00017651,Target Gene Class B
WBGene00017667,Target Gene Class A2
WBGene00017678,Target Gene Class B
WBGene00017687,Target Gene Class A2
WBGene00017691,Target Gene Class A1
WBGene00017726,Target Gene Class C
WBGene00017765,Target Gene Class A1
WBGene00017771,Target Gene Class A1
WBGene00017837,Target Gene Class B
WBGene00017881,Target Gene Class A1
WBGene00017892,Target Gene Class B
WBGene00017905,Target Gene Class A2
WBGene00017957,Target Gene Class A2
WBGene00017969,Target Gene Class A2
WBGene00017971,Target Gene Class B
WBGene00018024,Target Gene Class C
WBGene00018036,Target Gene Class A2
WBGene00018138,Target Gene Class A2
WBGene00018146,Target Gene Class A1
WBGene00018152,Target Gene Class B
WBGene00018195,Target Gene Class A1
WBGene00018200,Target Gene Class A1
WBGene00018207,Target Gene Class B
WBGene00018226,Target Gene Class B
WBGene00018241,Target Gene Class A2
WBGene00018274,Target Gene Class C
WBGene00018280,Target Gene Class B
WBGene00018283,Target Gene Class C
WBGene00018314,Target Gene Class C
WBGene00018343,Target Gene Class A2
WBGene00018350,Target Gene Class A2
WBGene00018353,Target Gene Class B
WBGene00018384,Target Gene Class A1
WBGene00018398,Target Gene Class B
WBGene00018435,Target Gene Class A1
WBGene00018466,Target Gene Class A1
WBGene00018547,Target Gene Class B
WBGene00018595,Target Gene Class C
WBGene00018602,Target Gene Class A1
WBGene00018636,Target Gene Class C
WBGene00018645,Target Gene Class A1
WBGene00018646,Target Gene Class A2
WBGene00018683,Target Gene Class A1
WBGene00018704,Target Gene Class B
WBGene00018708,Target Gene Class A1
WBGene00018731,Target Gene Class A1
WBGene00018732,Target Gene Class C
WBGene00018760,Target Gene Class A1
WBGene00018779,Target Gene Class A1
WBGene00018806,Target Gene Class C
WBGene00018823,Target Gene Class A1
WBGene00018886,Target Gene Class A2
WBGene00018903,Target Gene Class C
WBGene00018907,Target Gene Class A2
WBGene00018931,Target Gene Class A2
WBGene00018971,Target Gene Class A2
WBGene00018991,Target Gene Class C
WBGene00019014,Target Gene Class A2
WBGene00019017,Target Gene Class A2
WBGene00019068,Target Gene Class A1
WBGene00019097,Target Gene Class A1
WBGene00019100,Target Gene Class C
WBGene00019104,Target Gene Class A1
WBGene00019105,Target Gene Class A1
WBGene00019127,Target Gene Class B
WBGene00019164,Target Gene Class A1
WBGene00019166,Target Gene Class B
WBGene00019211,Target Gene Class C
WBGene00019215,Target Gene Class A1
WBGene00019225,Target Gene Class A2
WBGene00019261,Target Gene Class A1
WBGene00019273,Target Gene Class B
WBGene00019327,Target Gene Class C
WBGene00019344,Target Gene Class B
WBGene00019351,Target Gene Class B
WBGene00019368,Target Gene Class A1
WBGene00019373,Target Gene Class B
WBGene00019411,Target Gene Class C
WBGene00019445,Target Gene Class A1
WBGene00019493,Target Gene Class A2
WBGene00019549,Target Gene Class A1
WBGene00019564,Target Gene Class C
WBGene00019579,Target Gene Class A2
WBGene00019590,Target Gene Class A1
WBGene00019617,Target Gene Class A1
WBGene00019618,Target Gene Class A1
WBGene00019619,Target Gene Class A1
WBGene00019624,Target Gene Class C
WBGene00019645,Target Gene Class C
WBGene00019668,Target Gene Class A1
WBGene00019674,Target Gene Class A1
WBGene00019682,Target Gene Class A2
WBGene00019699,Target Gene Class A1
WBGene00019720,Target Gene Class A2
WBGene00019738,Target Gene Class A2
WBGene00019743,Target Gene Class C
WBGene00019748,Target Gene Class A1
WBGene00019770,Target Gene Class C
WBGene00019779,Target Gene Class A1
WBGene00019803,Target Gene Class A2
WBGene00019830,Target Gene Class A2
WBGene00019844,Target Gene Class B
WBGene00019869,Target Gene Class A1
WBGene00019894,Target Gene Class C
WBGene00019895,Target Gene Class A2
WBGene00019914,Target Gene Class A1
WBGene00019917,Target Gene Class B
WBGene00019931,Target Gene Class B
WBGene00019957,Target Gene Class A2
WBGene00019962,Target Gene Class B
WBGene00019978,Target Gene Class A2
WBGene00019986,Target Gene Class A1
WBGene00020022,Target Gene Class A1
WBGene00020034,Target Gene Class A1
WBGene00020080,Target Gene Class A1
WBGene00020094,Target Gene Class C
WBGene00020128,Target Gene Class B
WBGene00020139,Target Gene Class A1
WBGene00020182,Target Gene Class A2
WBGene00020191,Target Gene Class A1
WBGene00020247,Target Gene Class A1
WBGene00020256,Target Gene Class A2
WBGene00020258,Target Gene Class A2
WBGene00020280,Target Gene Class A2
WBGene00020325,Target Gene Class B
WBGene00020326,Target Gene Class A1
WBGene00020340,Target Gene Class A2
WBGene00020357,Target Gene Class B
WBGene00020359,Target Gene Class A2
WBGene00020378,Target Gene Class A1
WBGene00020393,Target Gene Class A1
WBGene00020401,Target Gene Class A1
WBGene00020449,Target Gene Class A2
WBGene00020453,Target Gene Class A2
WBGene00020455,Target Gene Class B
WBGene00020456,Target Gene Class B
WBGene00020472,Target Gene Class B
WBGene00020532,Target Gene Class B
WBGene00020574,Target Gene Class A1
WBGene00020576,Target Gene Class A2
WBGene00020577,Target Gene Class A1
WBGene00020579,Target Gene Class A2
WBGene00020631,Target Gene Class A1
WBGene00020662,Target Gene Class A1
WBGene00020728,Target Gene Class A1
WBGene00020736,Target Gene Class C
WBGene00020741,Target Gene Class A1
WBGene00020770,Target Gene Class B
WBGene00020771,Target Gene Class B
WBGene00020786,Target Gene Class C
WBGene00020788,Target Gene Class A1
WBGene00020791,Target Gene Class B
WBGene00020799,Target Gene Class A1
WBGene00020847,Target Gene Class A1
WBGene00020938,Target Gene Class A1
WBGene00020943,Target Gene Class A1
WBGene00020989,Target Gene Class A1
WBGene00021048,Target Gene Class B
WBGene00021060,Target Gene Class A1
WBGene00021082,Target Gene Class B
WBGene00021121,Target Gene Class C
WBGene00021160,Target Gene Class A1
WBGene00021167,Target Gene Class A2
WBGene00021178,Target Gene Class B
WBGene00021190,Target Gene Class A1
WBGene00021262,Target Gene Class A2
WBGene00021281,Target Gene Class A1
WBGene00021321,Target Gene Class A1
WBGene00021322,Target Gene Class B
WBGene00021325,Target Gene Class B
WBGene00021352,Target Gene Class B
WBGene00021396,Target Gene Class B
WBGene00021496,Target Gene Class C
WBGene00021500,Target Gene Class B
WBGene00021503,Target Gene Class A1
WBGene00021519,Target Gene Class C
WBGene00021535,Target Gene Class B
WBGene00021583,Target Gene Class A2
WBGene00021585,Target Gene Class C
WBGene00021586,Target Gene Class A1
WBGene00021587,Target Gene Class A1
WBGene00021589,Target Gene Class C
WBGene00021590,Target Gene Class B
WBGene00021602,Target Gene Class B
WBGene00021635,Target Gene Class B
WBGene00021768,Target Gene Class B
WBGene00021772,Target Gene Class A1
WBGene00021814,Target Gene Class A2
WBGene00021820,Target Gene Class B
WBGene00021852,Target Gene Class A1
WBGene00021860,Target Gene Class A2
WBGene00021872,Target Gene Class A1
WBGene00021879,Target Gene Class A2
WBGene00022061,Target Gene Class A1
WBGene00022178,Target Gene Class B
WBGene00022181,Target Gene Class A2
WBGene00022200,Target Gene Class A2
WBGene00022203,Target Gene Class C
WBGene00022246,Target Gene Class A2
WBGene00022261,Target Gene Class A2
WBGene00022275,Target Gene Class B
WBGene00022276,Target Gene Class A1
WBGene00022326,Target Gene Class B
WBGene00022337,Target Gene Class A2
WBGene00022345,Target Gene Class A2
WBGene00022346,Target Gene Class A2
WBGene00022382,Target Gene Class B
WBGene00022411,Target Gene Class A1
WBGene00022413,Target Gene Class A2
WBGene00022487,Target Gene Class A1
WBGene00022497,Target Gene Class B
WBGene00022505,Target Gene Class C
WBGene00022515,Target Gene Class A1
WBGene00022562,Target Gene Class A2
WBGene00022571,Target Gene Class A1
WBGene00022597,Target Gene Class A1
WBGene00022610,Target Gene Class A2
WBGene00022615,Target Gene Class C
WBGene00022642,Target Gene Class A1
WBGene00022643,Target Gene Class A1
WBGene00022644,Target Gene Class B
WBGene00022721,Target Gene Class B
WBGene00022736,Target Gene Class C
WBGene00022782,Target Gene Class C
WBGene00022816,Target Gene Class A1
WBGene00022830,Target Gene Class B
WBGene00022868,Target Gene Class A1
WBGene00022870,Target Gene Class A1
WBGene00023423,Target Gene Class C
WBGene00023432,Target Gene Class A2
WBGene00023485,Target Gene Class A2
WBGene00043983,Target Gene Class A2
WBGene00044045,Target Gene Class A1
WBGene00044107,Target Gene Class A2
WBGene00044206,Target Gene Class A1
WBGene00044280,Target Gene Class C
WBGene00044291,Target Gene Class A1
WBGene00044296,Target Gene Class A1
WBGene00044381,Target Gene Class A1
WBGene00044382,Target Gene Class A1
WBGene00044403,Target Gene Class A2
WBGene00044421,Target Gene Class A1
WBGene00044455,Target Gene Class A1
WBGene00044457,Target Gene Class A1
WBGene00044458,Target Gene Class B
WBGene00044469,Target Gene Class A1
WBGene00044481,Target Gene Class A1
WBGene00044485,Target Gene Class A1
WBGene00044488,Target Gene Class A1
WBGene00044500,Target Gene Class C
WBGene00044611,Target Gene Class C
WBGene00044672,Target Gene Class B
WBGene00044696,Target Gene Class A1
WBGene00044707,Target Gene Class B
WBGene00044761,Target Gene Class A2
WBGene00044770,Target Gene Class B
WBGene00044776,Target Gene Class A2
WBGene00044792,Target Gene Class A1
WBGene00044807,Target Gene Class A1
WBGene00044990,Target Gene Class A1
WBGene00045013,Target Gene Class A2
WBGene00045048,Target Gene Class C
WBGene00045252,Target Gene Class A1
WBGene00045305,Target Gene Class C
WBGene00045365,Target Gene Class A1
WBGene00045397,Target Gene Class A2
WBGene00045455,Target Gene Class A1
WBGene00045457,Target Gene Class B
WBGene00050899,Target Gene Class A1
WBGene00050967,Target Gene Class A1
WBGene00077757,Target Gene Class A1
WBGene00077783,Target Gene Class A1
WBGene00077786,Target Gene Class A1
WBGene00185092,Target Gene Class A1
WBGene00189950,Target Gene Class A1
WBGene00194687,Target Gene Class A2
WBGene00194689,Target Gene Class B
WBGene00194713,Target Gene Class C
WBGene00194742,Target Gene Class A1
WBGene00194815,Target Gene Class A2
WBGene00194848,Target Gene Class A1
WBGene00195077,Target Gene Class B
WBGene00195145,Target Gene Class A2
WBGene00202511,Target Gene Class B
WBGene00206354,Target Gene Class B
WBGene00206381,Target Gene Class B
WBGene00206413,Target Gene Class A1
WBGene00219216,Target Gene Class B
WBGene00219283,Target Gene Class A1
WBGene00219316,Target Gene Class A1
WBGene00219376,Target Gene Class A1
WBGene00235133,Target Gene Class A2
WBGene00235352,Target Gene Class A2
