Treatment,Reporter,Worm_Num,Measurement_Type,Measurement_Num,Measurement_Area,Mean_Grey_Value,Min_Grey_Value,Max_Grey_Value,Integrated_Density,Raw_Integrated_Density,Rep,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,1,0.039,7.475,7,8,2.92E-01,2691,2,,,
ELT-2_RNAi_RNAi,ELT-2::GFP,1,Background,2,0.039,7.839,7,9,3.06E-01,2822,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,3,0.039,7.9,7,8,3.09E-01,2844,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,4,0.039,6.075,6,7,0.237,2187,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Intestine,5,1.58,9.87,7,13,15.597,143744,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,6,0.039,8,7,9,3.12E-01,2880,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,7,0.039,7.969,7,9,0.311,2869,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,8,0.039,7.806,7,8,0.305,2810,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,9,0.039,6.372,6,7,2.49E-01,2294,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Intestine,10,1.89,11.027,7,18,20.835,192019,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,11,0.039,6.083,6,7,2.38E-01,2190,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,12,0.039,6.111,6,7,0.239,2200,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,13,0.039,6.269,6,7,0.245,2257,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,14,0.039,6.464,6,8,0.252,2327,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Intestine,15,2.302,9.756,6,17,22.461,206998,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,16,0.039,6.10E+00,6,7,2.38E-01,2197,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,17,0.039,6.156,6,7,0.24,2216,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,18,0.039,6.383,6,7,0.249,2298,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,19,0.039,6.378,6,7,0.249,2296,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Intestine,20,2.389,9.396,6,34,22.451,206906,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,21,0.039,6.075,6,7,0.237,2187,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,22,0.039,6.139,6,7,0.24,2210,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,23,0.039,6.108,6,7,2.39E-01,2199,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,24,0.039,6.392,6,13,0.25,2301,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Intestine,25,2.194,9.36,6,20,20.54,189297,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,26,0.039,5.953,5,6,2.33E-01,2143,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,27,0.039,5.992,5,7,0.234,2157,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,28,0.039,6.006,6,7,2.35E-01,2162,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,29,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Intestine,30,2.282,8.685,5,26,19.82,182659,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,31,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,32,0.039,5.992,5,6,0.234,2157,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,33,0.039,6,5,7,0.234,2160,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,34,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Intestine,35,2.48,9.259,5,17,22.965,211646,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,36,0.039,6.00E+00,5,7,2.34E-01,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,37,0.039,6.011,6,7,2.35E-01,2164,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,38,0.039,6.047,6,7,2.36E-01,2177,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,39,0.039,6.003,6,7,2.34E-01,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Intestine,40,2.47,8.649,5,30,21.364,196887,2,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,41,0.039,6,5,7,2.34E-01,2160,2,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,42,0.039,6.014,6,7,0.235,2165,2,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,43,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,44,0.039,6.106,6,7,2.38E-01,2198,2,,,
ELT-2_RNAi,ELT-2::GFP,9,Intestine,45,2.527,8.78,5,23,22.187,204471,2,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,46,0.039,6.031,6,7,0.236,2171,2,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,47,0.039,6.078,6,7,0.237,2188,2,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,48,0.039,6.3,6,7,0.246,2268,2,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,49,0.039,6.261,6,7,0.245,2254,2,,,
ELT-2_RNAi,ELT-2::GFP,10,Intestine,50,2.494,9.294,6,28,23.182,213643,2,,,
L4440_RNAi,ELT-2::GFP,1,Background,1,0.094,7.89,7,9,7.45E-01,6864,2,,,
L4440_RNAi,ELT-2::GFP,1,Background,2,0.094,8.09,7,9,0.764,7038,2,,,
L4440_RNAi,ELT-2::GFP,1,Background,3,0.094,8.12E+00,7,9,7.66E-01,7061,2,,,
L4440_RNAi,ELT-2::GFP,1,Background,4,0.094,8.208,7,10,7.75E-01,7141,2,,,
L4440_RNAi,ELT-2::GFP,1,Intestine,5,3.435,13.035,7,39,44.776,412660,2,,,
L4440_RNAi,ELT-2::GFP,2,Background,6,0.039,12.053,12,13,4.71E-01,4339,2,,,
L4440_RNAi,ELT-2::GFP,2,Background,7,0.039,12.036,11,13,4.70E-01,4333,2,,,
L4440_RNAi,ELT-2::GFP,2,Background,8,0.039,12.225,12,13,0.478,4401,2,,,
L4440_RNAi,ELT-2::GFP,2,Background,9,0.039,12.108,12,13,0.473,4359,2,,,
L4440_RNAi,ELT-2::GFP,2,Intestine,10,1.702,17.731,11,48,30.171,278058,2,,,
L4440_RNAi,ELT-2::GFP,3,Background,11,0.039,12.047,11,13,4.71E-01,4337,2,,,
L4440_RNAi,ELT-2::GFP,3,Background,12,0.039,12.264,12,13,0.479,4415,2,,,
L4440_RNAi,ELT-2::GFP,3,Background,13,0.039,12.386,12,13,4.84E-01,4459,2,,,
L4440_RNAi,ELT-2::GFP,3,Background,14,0.039,12.172,12,13,4.75E-01,4382,2,,,
L4440_RNAi,ELT-2::GFP,3,Intestine,15,1.418,22.806,12,83,32.346,298102,2,,,
L4440_RNAi,ELT-2::GFP,4,Background,16,0.039,12.497,12,14,4.88E-01,4499,2,,,
L4440_RNAi,ELT-2::GFP,4,Background,17,0.039,12.258,12,13,4.79E-01,4413,2,,,
L4440_RNAi,ELT-2::GFP,4,Background,18,0.039,12.225,12,13,0.478,4401,2,,,
L4440_RNAi,ELT-2::GFP,4,Background,19,0.039,12.239,12,13,4.78E-01,4406,2,,,
L4440_RNAi,ELT-2::GFP,4,Intestine,20,1.393,26.708,12,85,37.193,342773,2,,,
L4440_RNAi,ELT-2::GFP,5,Background,21,0.039,12.664,12,13,4.95E-01,4559,2,,,
L4440_RNAi,ELT-2::GFP,5,Background,22,0.039,12.717,12,13,4.97E-01,4578,2,,,
L4440_RNAi,ELT-2::GFP,5,Background,23,0.039,12.361,12,13,0.483,4450,2,,,
L4440_RNAi,ELT-2::GFP,5,Background,24,0.039,12.525,12,13,0.489,4509,2,,,
L4440_RNAi,ELT-2::GFP,5,Intestine,25,1.495,27.879,12,84,41.685,384169,2,,,
L4440_RNAi,ELT-2::GFP,6,Background,26,0.039,6,5,7,2.34E-01,2160,2,,,
L4440_RNAi,ELT-2::GFP,6,Background,27,0.039,6.011,6,7,2.35E-01,2164,2,,,
L4440_RNAi,ELT-2::GFP,6,Background,28,0.039,6.022,6,7,0.235,2168,2,,,
L4440_RNAi,ELT-2::GFP,6,Background,29,0.039,5.997,5,6,0.234,2159,2,,,
L4440_RNAi,ELT-2::GFP,6,Intestine,30,1.525,11.267,5,66,17.186,158388,2,,,
L4440_RNAi,ELT-2::GFP,7,Background,31,0.039,6.094,6,7,2.38E-01,2194,2,,,
L4440_RNAi,ELT-2::GFP,7,Background,32,0.039,6.192,6,7,0.242,2229,2,,,
L4440_RNAi,ELT-2::GFP,7,Background,33,0.039,6.378,6,7,2.49E-01,2296,2,,,
L4440_RNAi,ELT-2::GFP,7,Background,34,0.039,6.411,6,7,0.25,2308,2,,,
L4440_RNAi,ELT-2::GFP,7,Intestine,35,1.273,9.962,6,33,12.68,116858,2,,,
L4440_RNAi,ELT-2::GFP,8,Background,36,0.039,6.09E+00,6,7,2.38E-01,2193,2,,,
L4440_RNAi,ELT-2::GFP,8,Background,37,0.039,6.08E+00,6,7,2.37E-01,2188,2,,,
L4440_RNAi,ELT-2::GFP,8,Background,38,0.039,6.11E+00,6,7,2.39E-01,2199,2,,,
L4440_RNAi,ELT-2::GFP,8,Background,39,0.039,6.04E+00,6,7,2.36E-01,2176,2,,,
L4440_RNAi,ELT-2::GFP,8,Intestine,40,1.548,13.356,6,33,20.681,190595,2,,,
L4440_RNAi,ELT-2::GFP,9,Background,41,0.039,6.256,6,7,2.44E-01,2252,2,,,
L4440_RNAi,ELT-2::GFP,9,Background,42,0.039,6.186,6,7,0.242,2227,2,,,
L4440_RNAi,ELT-2::GFP,9,Background,43,0.039,6.208,6,7,0.243,2235,2,,,
L4440_RNAi,ELT-2::GFP,9,Background,44,0.039,6.097,6,7,2.38E-01,2195,2,,,
L4440_RNAi,ELT-2::GFP,9,Intestine,45,1.857,11.765,6,36,21.845,201325,2,,,
L4440_RNAi,ELT-2::GFP,10,Background,46,0.039,6.253,6,7,2.44E-01,2251,2,,,
L4440_RNAi,ELT-2::GFP,10,Background,47,0.039,6.347,6,7,2.48E-01,2285,2,,,
L4440_RNAi,ELT-2::GFP,10,Background,48,0.039,6.292,6,7,0.246,2265,2,,,
L4440_RNAi,ELT-2::GFP,10,Background,49,0.039,6.386,6,7,0.249,2299,2,,,
L4440_RNAi,ELT-2::GFP,10,Intestine,50,1.447,13.201,6,39,19.102,176043,2,,,
L4440_RNAi,ELT-2::GFP,2,Worm,7,10.385,12.222,5,61,126.923,1169721,1,,,
L4440_RNAi,ELT-2::GFP,2,Background,8,0.395,4.079,3,5,1.611,14849,1,,,
L4440_RNAi,ELT-2::GFP,2,Background,9,0.556,4.135,3,6,2.297,21171,1,,,
L4440_RNAi,ELT-2::GFP,2,Background,10,0.798,4.067,3,5,3.244,29897,1,,,
L4440_RNAi,ELT-2::GFP,2,Background,11,0.692,4.06,3,5,2.809,25886,1,,,
L4440_RNAi,ELT-2::GFP,2,Background,12,1.023,4.051,3,5,4.146,38207,1,,,
L4440_RNAi,ELT-2::GFP,3,Worm,13,12.047,15.354,6,54,184.97,1704680,1,,,
L4440_RNAi,ELT-2::GFP,3,Background,14,0.599,4.08,3,5,2.445,22537,1,,,
L4440_RNAi,ELT-2::GFP,3,Background,15,0.266,4.11,3,5,1.093,10077,1,,,
L4440_RNAi,ELT-2::GFP,3,Background,16,0.704,4.108,3,5,2.892,26652,1,,,
L4440_RNAi,ELT-2::GFP,3,Background,17,0.391,4.04,3,5,1.582,14576,1,,,
L4440_RNAi,ELT-2::GFP,3,Background,18,0.796,4.118,3,5,3.276,30191,1,,,
L4440_RNAi,ELT-2::GFP,4,Worm,19,15.615,16.091,7,50,251.268,2315682,1,,,
L4440_RNAi,ELT-2::GFP,4,Background,20,0.268,4.149,3,5,1.113,10256,1,,,
L4440_RNAi,ELT-2::GFP,4,Background,21,0.415,4.425,4,5,1.836,16923,1,,,
L4440_RNAi,ELT-2::GFP,4,Background,22,0.606,4.681,4,6,2.836,26141,1,,,
L4440_RNAi,ELT-2::GFP,4,Background,23,0.609,4.337,3,5,2.639,24321,1,,,
L4440_RNAi,ELT-2::GFP,4,Background,24,0.737,4.313,3,5,3.181,29314,1,,,
L4440_RNAi,ELT-2::GFP,5,Worm,25,13.942,15.684,6,51,218.668,2015245,1,,,
L4440_RNAi,ELT-2::GFP,5,Background,26,0.837,4.399,4,5,3.681,33928,1,,,
L4440_RNAi,ELT-2::GFP,5,Background,27,0.307,4.76,4,6,1.463,13479,1,,,
L4440_RNAi,ELT-2::GFP,5,Background,28,0.314,4.821,4,6,1.515,13961,1,,,
L4440_RNAi,ELT-2::GFP,5,Background,29,0.447,4.229,4,5,1.892,17441,1,,,
L4440_RNAi,ELT-2::GFP,5,Background,30,0.305,4.519,4,5,1.379,12707,1,,,
L4440_RNAi,ELT-2::GFP,6,Worm,31,11.63,16.88,6,84,196.318,1809263,1,,,
L4440_RNAi,ELT-2::GFP,6,Background,32,0.42,4.325,3,5,1.817,16745,1,,,
L4440_RNAi,ELT-2::GFP,6,Background,33,0.275,4.214,4,5,1.16,10686,1,,,
L4440_RNAi,ELT-2::GFP,6,Background,34,0.203,4.185,4,5,0.848,7818,1,,,
L4440_RNAi,ELT-2::GFP,6,Background,35,0.222,4.293,4,5,0.952,8774,1,,,
L4440_RNAi,ELT-2::GFP,6,Background,36,0.268,4.176,3,5,1.118,10307,1,,,
L4440_RNAi,ELT-2::GFP,7,Worm,37,13.048,16.649,6,69,217.24,2002083,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,38,0.818,4.556,4,6,3.728,34355,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,39,0.16,4.446,4,5,0.71,6544,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,40,0.23,4.319,4,5,0.993,9156,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,41,0.156,5.207,4,6,0.811,7477,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,42,0.445,4.471,4,6,1.991,18349,1,,,
L4440_RNAi,ELT-2::GFP,7,Background,43,0.428,4.107,3,5,1.759,16215,1,,,
L4440_RNAi,ELT-2::GFP,8,Worm,44,10.94,15.974,5,75,174.768,1610659,1,,,
L4440_RNAi,ELT-2::GFP,8,Background,45,0.42,3.986,3,5,1.675,15434,1,,,
L4440_RNAi,ELT-2::GFP,8,Background,46,0.279,4.001,3,5,1.117,10291,1,,,
L4440_RNAi,ELT-2::GFP,8,Background,47,0.196,4.059,3,5,0.795,7323,1,,,
L4440_RNAi,ELT-2::GFP,8,Background,48,0.328,4.011,3,5,1.316,12128,1,,,
L4440_RNAi,ELT-2::GFP,8,Background,49,0.198,4.035,3,5,0.799,7359,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Worm,1,17.949,9.613,5,17,172.541,1590142,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,2,0.734,4.311,4,5,3.166,29176,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,3,0.444,4.134,3,5,1.837,16933,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,4,0.142,4.26,4,5,0.605,5572,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,5,0.356,4.234,4,5,1.509,13903,1,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,6,0.218,4.396,4,5,0.96,8845,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Worm,7,16.034,8.513,4,72,136.488,1257871,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,8,0.226,4.031,3,5,0.91,8385,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,9,0.076,4.061,3,5,0.31,2859,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,10,0.364,4.074,3,5,1.484,13674,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,11,0.213,4.098,3,5,0.872,8033,1,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,12,0.222,4.063,3,5,0.901,8305,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Worm,13,15.244,10.111,5,18,154.135,1420506,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,14,0.226,4.03,3,5,0.91,8383,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,15,0.184,4.063,3,5,0.748,6891,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,16,0.279,4.108,3,5,1.146,10566,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,17,0.296,4.062,3,7,1.201,11065,1,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,18,0.307,4.287,3,5,1.316,12124,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Worm,19,18.27,11.548,5,29,210.988,1944466,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,20,0.316,4.096,3,5,1.294,11927,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,21,0.189,4.08,3,5,0.772,7116,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,22,0.24,4.147,3,5,0.997,9189,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,23,0.24,4.505,4,5,1.083,9983,1,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,24,0.317,4.219,3,5,1.337,12319,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Worm,26,10.968,10.091,5,85,110.673,1019965,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,27,0.336,4.121,3,5,1.386,12776,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,28,0.178,4.312,4,5,0.767,7072,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,29,0.158,4.093,3,5,0.647,5959,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,30,0.396,4.067,3,5,1.61,14835,1,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,31,0.235,4.093,3,5,0.963,8874,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Worm,32,17.043,10.934,5,22,186.343,1717333,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,33,0.408,4.255,3,6,1.734,15980,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,34,0.237,4.166,4,5,0.989,9116,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,35,0.208,4.148,4,5,0.862,7948,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,36,0.239,4.166,3,5,0.996,9181,1,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,37,0.265,4.11,3,5,1.088,10028,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Worm,38,13.31,11.798,5,38,157.029,1447175,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,39,0.231,4.054,3,5,0.936,8627,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,40,0.131,4.039,3,5,0.529,4879,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,41,0.324,4.041,3,5,1.31,12076,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,42,0.316,4.041,3,5,1.277,11766,1,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,43,0.286,4.097,3,5,1.17,10783,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Worm,44,16.854,9.655,4,74,162.732,1499738,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,45,0.307,4.015,3,5,1.234,11371,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,46,0.287,4.096,3,5,1.175,10830,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,47,0.317,4.109,3,5,1.302,11998,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,48,0.154,4.046,3,5,0.623,5746,1,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,49,0.391,4.073,3,6,1.595,14696,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Worm,50,13.77,9.941,5,19,136.88,1261485,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,51,0.37,4.15,3,5,1.536,14159,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,52,0.131,4.227,4,6,0.552,5089,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,53,0.56,4.124,3,5,2.309,21282,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,54,0.205,4.713,4,7,0.968,8917,1,,,
ELT-2_RNAi,ELT-2::GFP,9,Background,55,0.214,4.59,4,6,0.98,9034,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Worm,56,13.967,9.915,5,20,138.477,1276200,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,57,0.37,4.081,3,5,1.511,13924,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,58,0.24,4.1,3,5,0.982,9052,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,59,0.142,4.133,3,5,0.588,5423,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,60,0.327,4.097,3,5,1.341,12358,1,,,
ELT-2_RNAi,ELT-2::GFP,10,Background,61,0.135,4.211,4,5,0.568,5239,1,,,